Extracted from the UNHCR Population Statistics Reference Database,United Nations High Commissioner for Refugees,,,,,,,,,,,,
Date extracted: 2016-10-26 15:37:10 +02:00,,,,,,,,,,,,,
Year,Country / territory of asylum/residence,Origin,RSD procedure type / level,Total persons pending start-year,of which UNHCR-assisted,Applied during year,statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,Otherwise closed,Total decisions,Total persons pending end-year,of which UNHCR-assisted
2015,Zimbabwe,Syrian Arab Rep.,G / FI,0,0,*,,0,0,*,*,0,0
2015,Zambia,Syrian Arab Rep.,G / FI,9,9,5,*,0,*,0,6,8,8
2015,South Africa,Syrian Arab Rep.,G / AR,*,0,*,,,,,,*,0
2015,South Africa,Syrian Arab Rep.,G / FI,36,*,27,*,,7,,10,53,5
2015,Yemen,Syrian Arab Rep.,U / FI,1039,1039,*,*,0,,421,425,615,615
2015,Venezuela (Bolivarian Republic of),Syrian Arab Rep.,G / FI,*,*,*,,,,,,*,*
2015,United States of America,Syrian Arab Rep.,G / EO,488,,110,104,,26,62,192,654,
2015,United States of America,Syrian Arab Rep.,G / IN,2109,,1004,581,,34,162,777,2464,
2015,Uruguay,Syrian Arab Rep.,G / FI,11,11,9,10,0,0,*,11,9,5
2015,Ireland,Syrian Arab Rep.,,,,*,,,,,,,0
2015,Ukraine,Syrian Arab Rep.,U / FI,*,*,27,9,,0,7,16,12,12
2015,Ukraine,Syrian Arab Rep.,G / JR,157,123,143,90,,19,*,111,189,183
2015,Ukraine,Syrian Arab Rep.,G / FI,436,313,136,5,58,134,10,207,365,268
2015,Uganda,Syrian Arab Rep.,G / FA,13,13,5,*,0,*,0,7,11,11
2015,Turkey,Syrian Arab Rep.,U / RA,,,*,,,,*,*,0,0
2015,Turkey,Syrian Arab Rep.,U / AR,14,14,,,,,,,14,14
2015,Turkey,Syrian Arab Rep.,U / FI,283,283,,,,,,,283,283
2015,Trinidad and Tobago,Syrian Arab Rep.,U / AR,*,*,,,,*,,*,0,
2015,Trinidad and Tobago,Syrian Arab Rep.,U / FI,7,7,37,19,,,,19,25,25
2015,Thailand,Syrian Arab Rep.,U / RA,,,*,,,,,,*,*
2015,Thailand,Syrian Arab Rep.,U / FI,168,168,177,36,,,66,102,243,243
2015,Togo,Syrian Arab Rep.,G / FI,6,6,*,*,,,,*,6,6
2015,Chad,Syrian Arab Rep.,G / FA,20,20,7,5,,,,5,22,22
2015,Sint Maarten (Dutch part),Syrian Arab Rep.,U / FI,,,*,,,,,,*,*
2015,Sweden,Syrian Arab Rep.,G / AR,209,0,702,0,9,607,78,694,216,0
2015,Sweden,Syrian Arab Rep.,G / RA,122,0,442,23,235,*,74,333,356,0
2015,Sweden,Syrian Arab Rep.,G / FI,18680,0,50891,1903,16383,37,2046,20369,48714,0
2015,Slovenia,Syrian Arab Rep.,G / RA,,,*,,,,,,,
2015,Slovenia,Syrian Arab Rep.,G / FI,8,,16,*,9,*,5,16,9,0
2015,Slovakia,Syrian Arab Rep.,G / RA,,,*,,,,,,,
2015,Slovakia,Syrian Arab Rep.,G / FI,,,6,,7,*,7,17,,0
2015,South Sudan,Syrian Arab Rep.,U / FI,*,*,*,*,,,0,*,0,0
2015,Serbia,Syrian Arab Rep.,G / FI,237,237,301533,*,*,,301764,301770,0,
2015,Somalia,Syrian Arab Rep.,U / FI,63,63,39,*,,,,*,101,101
2015,El Salvador,Syrian Arab Rep.,G / FI,,,9,5,,,*,9,0,0
2015,Senegal,Syrian Arab Rep.,G / FA,21,21,,,,,,,21,21
2015,Sudan,Syrian Arab Rep.,G / FI,14,14,195,0,*,0,*,*,205,205
2015,Sudan,Syrian Arab Rep.,U / FI,224,224,110,11,0,0,*,12,322,322
2015,Saudi Arabia,Syrian Arab Rep.,U / FI,12,12,,,,,12,12,0,0
2015,Russian Federation,Syrian Arab Rep.,G / TA,164,164,1124,0,695,395,0,1090,198,198
2015,Russian Federation,Syrian Arab Rep.,G / FI,249,249,337,0,0,391,0,391,195,195
2015,Romania,Syrian Arab Rep.,G / JR,*,*,,,*,*,,*,,
2015,Romania,Syrian Arab Rep.,G / RA,,,5,,,,,,,
2015,Romania,Syrian Arab Rep.,G / FI,112,112,541,144,195,229,8,576,96,96
2015,Paraguay,Syrian Arab Rep.,G / FI,9,,55,27,,10,,37,27,16
2015,Portugal,Syrian Arab Rep.,G / FI,,,,,,,,,15,
2015,Poland,Syrian Arab Rep.,G / RA,,,9,,,,,,,
2015,Poland,Syrian Arab Rep.,G / FI,34,,286,203,*,*,90,297,36,
2015,Papua New Guinea,Syrian Arab Rep.,G / FI,*,0,0,*,,0,,*,*,
2015,Philippines,Syrian Arab Rep.,G / FI,35,0,22,17,,,0,17,40,0
2015,Peru,Syrian Arab Rep.,G / FI,*,,9,9,,,,9,*,*
2015,Pakistan,Syrian Arab Rep.,U / FI,*,*,11,*,,0,,*,9,9
2015,Oman,Syrian Arab Rep.,U / FI,6,6,0,,,,*,*,5,5
2015,New Zealand,Syrian Arab Rep.,G / FI,6,0,13,16,,0,,16,*,0
2015,Nauru,Syrian Arab Rep.,G / FI,8,0,0,*,,0,,*,*,0
2015,Norway,Syrian Arab Rep.,G / RA,0,0,19,6,*,*,*,12,13,0
2015,Norway,Syrian Arab Rep.,G / AR,49,0,265,6,15,235,9,265,46,0
2015,Norway,Syrian Arab Rep.,G / FI,779,0,10517,1354,188,7,659,2208,9069,0
2015,Netherlands,Syrian Arab Rep.,G / RA,6,,54,9,,29,,38,6,
2015,Netherlands,Syrian Arab Rep.,G / FI,2317,,18677,7601,114,577,231,8523,12712,
2015,Nigeria,Syrian Arab Rep.,G / FI,17,17,45,20,,,*,21,41,41
2015,Niger,Syrian Arab Rep.,G / AR,*,*,,,,,,,*,*
2015,Niger,Syrian Arab Rep.,G / FI,0,0,*,,,*,,*,0,0
2015,Malaysia,Syrian Arab Rep.,U / AR,7,7,,,,*,6,7,0,0
2015,Malaysia,Syrian Arab Rep.,U / FI,523,523,511,54,,,151,205,829,829
2015,Mauritania,Syrian Arab Rep.,U / FA,54,54,239,184,,,*,186,107,107
2015,Montenegro,Syrian Arab Rep.,G / FA,36,36,996,14,0,0,1018,1032,0,0
2015,Malta,Syrian Arab Rep.,G / AR,,,17,6,*,6,,13,*,
2015,Malta,Syrian Arab Rep.,G / FI,34,,398,17,265,*,16,299,156,0
2015,Mali,Syrian Arab Rep.,G / FI,*,*,66,58,,,,58,9,9
2015,The former Yugoslav Republic of Macedonia,Syrian Arab Rep.,G / FA,654,654,997,*,,*,1644,1648,*,*
2015,Mexico,Syrian Arab Rep.,G / FI,,,7,5,,,*,7,0,0
2015,Rep. of Moldova,Syrian Arab Rep.,G / FI,22,22,55,20,37,*,10,69,8,8
2015,Morocco,Syrian Arab Rep.,U / FI,*,*,0,*,0,0,0,*,0,0
2015,"China, Macao SAR",Syrian Arab Rep.,G / FI,*,0,,,,,,,*,0
2015,Latvia,Syrian Arab Rep.,G / FI,17,0,6,0,13,0,7,20,*,0
2015,Luxembourg,Syrian Arab Rep.,G / RA,,0,,,,,,,,0
2015,Luxembourg,Syrian Arab Rep.,G / AR,*,0,10,,,,8,8,*,0
2015,Luxembourg,Syrian Arab Rep.,G / FI,59,0,630,79,,*,20,100,588,0
2015,Lithuania,Syrian Arab Rep.,G / FI,*,0,6,*,*,0,*,5,5,0
2015,Sri Lanka,Syrian Arab Rep.,U / FI,5,5,7,*,,,,*,11,11
2015,Liechtenstein,Syrian Arab Rep.,G / FI,,0,*,,,,,,*,0
2015,Saint Lucia,Syrian Arab Rep.,U / FI,,,*,,,,*,*,*,*
2015,Libya,Syrian Arab Rep.,U / FI,18556,18556,35,,,,,,18591,18591
2015,Liberia,Syrian Arab Rep.,J / FI,*,*,*,,,,,,*,*
2015,Lebanon,Syrian Arab Rep.,U / AR,*,*,*,*,,,,*,*,*
2015,Lebanon,Syrian Arab Rep.,U / FI,413,413,9059,9062,,,399,9461,11,11
2015,Kuwait,Syrian Arab Rep.,U / FI,7,7,,*,,,,*,6,6
2015,Rep. of Korea,Syrian Arab Rep.,G / FA,64,19,404,*,142,,5,148,320,55
2015,Cambodia,Syrian Arab Rep.,G / FI,*,*,*,,,,*,*,*,*
2015,Kyrgyzstan,Syrian Arab Rep.,U / AR,*,*,0,0,0,0,*,*,0,0
2015,Kyrgyzstan,Syrian Arab Rep.,G / FI,16,16,12,8,,5,10,23,5,5
2015,Kyrgyzstan,Syrian Arab Rep.,U / FI,0,0,9,*,0,0,*,*,7,7
2015,Kenya,Syrian Arab Rep.,J / FI,5,5,19,*,,,14,16,8,8
2015,Kazakhstan,Syrian Arab Rep.,G / AR,24,24,*,,,,9,9,16,16
2015,Kazakhstan,Syrian Arab Rep.,U / FI,*,*,5,7,,,*,9,0,0
2015,Kazakhstan,Syrian Arab Rep.,G / FI,,,15,6,,9,,15,0,0
2015,Japan,Syrian Arab Rep.,G / FI,6,*,5,*,5,*,,9,,0
2015,Jordan,Syrian Arab Rep.,U / AR,0,0,*,0,0,0,*,*,0,0
2015,Jordan,Syrian Arab Rep.,U / FI,0,0,7413,7367,0,0,46,7413,0,0
2015,Jamaica,Syrian Arab Rep.,U / FI,,,*,,,,,,*,*
2015,Italy,Syrian Arab Rep.,G / FI,331,0,506,255,73,253,*,583,246,
2015,Iceland,Syrian Arab Rep.,G / FI,*,0,29,6,11,0,12,29,*,0
2015,Iraq,Syrian Arab Rep.,U / FI,1225,1225,,*,394,,828,1225,0,0
2015,Ireland,Syrian Arab Rep.,G / AR,*,,0,0,,*,0,*,0,0
2015,Ireland,Syrian Arab Rep.,G / SP,*,,*,*,,0,*,*,*,0
2015,Ireland,Syrian Arab Rep.,G / FI,7,,74,24,,0,9,33,50,0
2015,India,Syrian Arab Rep.,U / FI,18,18,21,17,0,0,*,19,20,20
2015,Indonesia,Syrian Arab Rep.,U / AR,*,*,,,,*,,*,0,0
2015,Indonesia,Syrian Arab Rep.,U / FI,42,42,20,19,,,11,30,32,32
