"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-10-27 16:01:20 +02:00"

Year,"Country / territory of asylum/residence",Origin,"Refugees (incl. refugee-like situations)","Asylum-seekers (pending cases)","Returned refugees","Internally displaced persons (IDPs)","Returned IDPs","Stateless persons","Others of concern","Total Population"
2015,"United Arab Emirates","Syrian Arab Rep.",36,109,0,0,0,0,0,145
2015,Argentina,"Syrian Arab Rep.",276,98,0,0,0,0,0,374
2015,Armenia,"Syrian Arab Rep.",16611,12,0,0,0,0,0,16623
2015,"Antigua and Barbuda","Syrian Arab Rep.",15,0,0,0,0,0,0,15
2015,Australia,"Syrian Arab Rep.",301,133,0,0,0,0,0,434
2015,Austria,"Syrian Arab Rep.",14894,18669,0,0,0,0,0,33563
2015,Azerbaijan,"Syrian Arab Rep.",8,8,*,0,0,0,0,16
2015,Belgium,"Syrian Arab Rep.",4239,3870,0,0,0,0,0,8109
2015,Bulgaria,"Syrian Arab Rep.",13819,1683,0,0,0,0,0,15502
2015,"Bosnia and Herzegovina","Syrian Arab Rep.",14,*,0,0,0,0,0,14
2015,Belarus,"Syrian Arab Rep.",138,7,0,0,0,0,0,145
2015,"Bolivia (Plurinational State of)","Syrian Arab Rep.",7,0,0,0,0,0,0,7
2015,Brazil,"Syrian Arab Rep.",2271,1154,0,0,0,0,0,3425
2015,"Central African Rep.","Syrian Arab Rep.",0,8,0,0,0,0,0,8
2015,Canada,"Syrian Arab Rep.",1513,235,0,0,0,0,0,1748
2015,Switzerland,"Syrian Arab Rep.",8695,4462,0,0,0,0,0,13157
2015,Chile,"Syrian Arab Rep.",13,11,0,0,0,0,0,24
2015,China,"Syrian Arab Rep.",14,24,0,0,0,0,0,38
2015,"Côte d'Ivoire","Syrian Arab Rep.",20,8,0,0,0,0,0,28
2015,Cameroon,"Syrian Arab Rep.",15,8,0,0,0,0,0,23
2015,"Dem. Rep. of the Congo","Syrian Arab Rep.",7,0,0,0,0,0,0,7
2015,Colombia,"Syrian Arab Rep.",7,0,0,0,0,0,0,7
2015,"Costa Rica","Syrian Arab Rep.",8,*,0,0,0,0,0,8
2015,Cuba,"Syrian Arab Rep.",41,0,0,0,0,0,0,41
2015,Cyprus,"Syrian Arab Rep.",3110,692,0,0,0,0,6000,9802
2015,"Czech Rep.","Syrian Arab Rep.",365,42,0,0,0,0,0,407
2015,Germany,"Syrian Arab Rep.",115604,81582,0,0,0,0,0,197186
2015,Denmark,"Syrian Arab Rep.",12988,825,0,0,0,0,0,13813
2015,Algeria,"Syrian Arab Rep.",0,6211,0,0,0,0,0,6211
2015,Ecuador,"Syrian Arab Rep.",17,0,0,0,0,0,0,17
2015,Egypt,"Syrian Arab Rep.",117635,0,0,0,0,0,0,117635
2015,Spain,"Syrian Arab Rep.",1336,3280,0,0,0,0,0,4616
2015,Estonia,"Syrian Arab Rep.",6,0,0,0,0,0,0,6
2015,Ethiopia,"Syrian Arab Rep.",9,15,0,0,0,0,0,24
2015,Finland,"Syrian Arab Rep.",565,705,0,0,0,0,0,1270
2015,France,"Syrian Arab Rep.",5179,2711,0,0,0,0,0,7890
2015,"United Kingdom","Syrian Arab Rep.",6496,1648,0,0,0,0,0,8144
2015,Georgia,"Syrian Arab Rep.",475,9,0,0,0,0,0,484
2015,Ghana,"Syrian Arab Rep.",47,49,0,0,0,0,0,96
2015,Greece,"Syrian Arab Rep.",9101,448,0,0,0,0,0,9549
2015,Croatia,"Syrian Arab Rep.",23,*,0,0,0,0,0,23
2015,Hungary,"Syrian Arab Rep.",476,18607,0,0,0,0,0,19083
2015,Indonesia,"Syrian Arab Rep.",61,32,0,0,0,0,0,93
2015,India,"Syrian Arab Rep.",41,20,0,0,0,0,0,61
2015,Ireland,"Syrian Arab Rep.",109,51,0,0,0,0,0,160
2015,Iraq,"Syrian Arab Rep.",244642,0,188,0,0,0,0,244830
2015,Iceland,"Syrian Arab Rep.",37,*,0,0,0,0,0,37
2015,Italy,"Syrian Arab Rep.",1460,246,0,0,0,0,0,1706
2015,Jordan,"Syrian Arab Rep.",628223,0,0,0,0,0,0,628223
2015,Japan,"Syrian Arab Rep.",59,0,0,0,0,0,0,59
2015,Kazakhstan,"Syrian Arab Rep.",23,16,0,0,0,0,0,39
2015,Kenya,"Syrian Arab Rep.",9,8,0,0,0,0,0,17
2015,Kyrgyzstan,"Syrian Arab Rep.",55,12,0,0,0,0,0,67
2015,"Rep. of Korea","Syrian Arab Rep.",646,320,0,0,0,0,0,966
2015,Kuwait,"Syrian Arab Rep.",14,6,0,0,0,0,0,20
2015,Lebanon,"Syrian Arab Rep.",1062690,15,0,0,0,0,2242,1064947
2015,Liberia,"Syrian Arab Rep.",6,*,0,0,0,0,0,6
2015,Libya,"Syrian Arab Rep.",97,18591,0,0,0,0,0,18688
2015,Liechtenstein,"Syrian Arab Rep.",23,*,0,0,0,0,0,23
2015,"Sri Lanka","Syrian Arab Rep.",*,11,0,0,0,0,0,11
2015,Lithuania,"Syrian Arab Rep.",23,5,0,0,0,0,0,28
2015,Luxembourg,"Syrian Arab Rep.",177,591,0,0,0,0,0,768
2015,Latvia,"Syrian Arab Rep.",65,*,0,0,0,0,0,65
2015,Morocco,"Syrian Arab Rep.",2619,0,0,0,0,0,0,2619
2015,"Rep. of Moldova","Syrian Arab Rep.",206,8,0,0,0,0,0,214
2015,Mexico,"Syrian Arab Rep.",18,0,0,0,0,0,0,18
2015,"The former Yugoslav Republic of Macedonia","Syrian Arab Rep.",13,*,0,0,0,0,0,13
2015,Mali,"Syrian Arab Rep.",82,9,0,0,0,0,0,91
2015,Malta,"Syrian Arab Rep.",1328,160,0,0,0,0,0,1488
2015,Mauritania,"Syrian Arab Rep.",215,107,0,0,0,0,0,322
2015,Malaysia,"Syrian Arab Rep.",473,829,0,0,0,0,0,1302
2015,Niger,"Syrian Arab Rep.",6,*,0,0,0,0,0,6
2015,Nigeria,"Syrian Arab Rep.",32,41,0,0,0,0,0,73
2015,Netherlands,"Syrian Arab Rep.",16184,12718,0,0,0,0,0,28902
2015,Norway,"Syrian Arab Rep.",4121,9128,0,0,0,0,0,13249
2015,"New Zealand","Syrian Arab Rep.",52,*,0,0,0,0,0,52
2015,Oman,"Syrian Arab Rep.",7,5,0,0,0,0,0,12
2015,Pakistan,"Syrian Arab Rep.",16,9,0,0,0,0,0,25
2015,Peru,"Syrian Arab Rep.",29,*,0,0,0,0,0,29
2015,Philippines,"Syrian Arab Rep.",36,40,0,0,0,0,0,76
2015,Poland,"Syrian Arab Rep.",445,36,0,0,0,0,0,481
2015,Portugal,"Syrian Arab Rep.",15,15,0,0,0,0,0,30
2015,Paraguay,"Syrian Arab Rep.",30,27,0,0,0,0,0,57
2015,Qatar,"Syrian Arab Rep.",14,0,0,0,0,0,0,14
2015,Romania,"Syrian Arab Rep.",1591,96,0,0,0,0,0,1687
2015,"Russian Federation","Syrian Arab Rep.",1304,393,0,0,0,0,0,1697
2015,"Saudi Arabia","Syrian Arab Rep.",9,0,0,0,0,0,0,9
2015,Sudan,"Syrian Arab Rep.",2692,527,0,0,0,0,0,3219
2015,Senegal,"Syrian Arab Rep.",0,21,0,0,0,0,0,21
2015,"El Salvador","Syrian Arab Rep.",5,0,0,0,0,0,0,5
2015,Somalia,"Syrian Arab Rep.",24,101,0,0,0,0,0,125
2015,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.",11,0,0,0,0,0,0,11
2015,Slovakia,"Syrian Arab Rep.",47,0,0,0,0,0,0,47
2015,Slovenia,"Syrian Arab Rep.",30,9,0,0,0,0,0,39
2015,Sweden,"Syrian Arab Rep.",52707,49286,0,0,0,0,0,101993
2015,"Syrian Arab Rep.","Syrian Arab Rep.",0,0,0,6563462,0,0,0,6563462
2015,Chad,"Syrian Arab Rep.",6,22,0,0,0,0,0,28
2015,Togo,"Syrian Arab Rep.",*,6,0,0,0,0,0,6
2015,Thailand,"Syrian Arab Rep.",95,245,0,0,0,0,0,340
2015,"Trinidad and Tobago","Syrian Arab Rep.",22,25,0,0,0,0,0,47
2015,Tunisia,"Syrian Arab Rep.",499,0,0,0,0,0,0,499
2015,Turkey,"Syrian Arab Rep.",2503549,297,0,0,0,0,0,2503846
2015,Uganda,"Syrian Arab Rep.",6,11,0,0,0,0,0,17
2015,Ukraine,"Syrian Arab Rep.",399,566,0,0,0,0,0,965
2015,Uruguay,"Syrian Arab Rep.",58,9,0,0,0,0,0,67
2015,"United States of America","Syrian Arab Rep.",5651,3118,0,0,0,0,0,8769
2015,Yemen,"Syrian Arab Rep.",3011,615,0,0,0,0,0,3626
2015,"South Africa","Syrian Arab Rep.",31,57,0,0,0,0,0,88
2015,Zambia,"Syrian Arab Rep.",6,8,0,0,0,0,0,14
2015,Zimbabwe,"Syrian Arab Rep.",0,0,0,0,0,0,5,5
